Animal Name,Exposure Endpoint Type,Endpoint Value,Endpoint Description,Range,Units,Error,Sex,Life Cycle Stage,Location,Sample Size,Type
Vireo bellii (Bell's Vireo),Clutches or Litters per year,7.07,,,,1.17,,Adult,,,Exposure Factor Datasets
Vireo bellii (Bell's Vireo),Population Density,1,,,,,,Adult,,,Exposure Factor Datasets
Vireo bellii (Bell's Vireo),Clutches or Litters per year,2.02,,,,0.17,,Adult,,,Exposure Factor Datasets
Vireo bellii (Bell's Vireo),Clutch or Litter Size,6.49,,,,0.58,,Adult,,,Exposure Factor Datasets
Vireo bellii (Bell's Vireo),Population Density,1.06,,,,,,Adult,,,Exposure Factor Datasets
Vireo bellii (Bell's Vireo),Clutches or Litters per year,1.47,,,,0.1,,Adult,,,Exposure Factor Datasets
Vireo bellii (Bell's Vireo),Clutch or Litter Size,4.88,,,,0.3,,Adult,,,Exposure Factor Datasets
Vireo bellii (Bell's Vireo),Population Density,1.19,,,,,,Adult,,,Exposure Factor Datasets
Vireo bellii (Bell's Vireo),Home Range,See citation text,,,,,,Both Adults and Juveniles,"San Joaquin River National
Wildlife Refuge",,Exposure Factor Datasets
Vireo bellii (Bell's Vireo),Population Density,0.01,,,,0.01,NR,Not Reported,"Missouri River between
Pierre and Mobridge, SD",NR,Exposure Factor Datasets
Vireo bellii (Bell's Vireo),Population Density,0.02,,,,0.02,NR,Not Reported,"Missouri River between
Pierre and Mobridge, SD",NR,Exposure Factor Datasets
Sylvilagus bachmani (Brush Rabbit),Survival/ Mortality,87,,,,NR,NR,Not Reported,"San Joaquin River National
Wildlife Refuge",325,Exposure Factor Datasets
Sylvilagus bachmani (Brush Rabbit),Home Range,See citation Table 3,,,,,B,Not Reported,"San Joaquin River National
Wildlife Refuge",325,Exposure Factor Datasets
Sylvilagus bachmani (Brush Rabbit),Body Weight - Mean,272.2,,,,141.72,B,Juvenile,"San Joaquin River National
Wildlife Refuge",340,Exposure Factor Datasets
Sylvilagus bachmani (Brush Rabbit),Survival/ Mortality,0.79,In captivity,,,,B,Not Reported,"San Joaquin River National
Wildlife Refuge",62,Exposure Factor Datasets
Sylvilagus bachmani (Brush Rabbit),Survival/ Mortality,0.86,In captivity,,,,B,Not Reported,"San Joaquin River National
Wildlife Refuge",278,Exposure Factor Datasets
Sylvilagus bachmani (Brush Rabbit),Survival/ Mortality,0.23,In captivity,,,,B,Not Reported,"San Joaquin River National
Wildlife Refuge",49,Exposure Factor Datasets
Sylvilagus bachmani (Brush Rabbit),Survival/ Mortality,0.22,In captivity,,,,B,Not Reported,"San Joaquin River National
Wildlife Refuge",196,Exposure Factor Datasets
Microtus californicus (California Vole),Population Density,1,,,,,M,Adult,"Sierra San Pedro
M´artir, Baja California, Mexico",1,Exposure Factor Datasets
Microtus californicus (California Vole),Body Weight - Mean,39.1,,,,2.5,F,Not Reported,"Davis, California",21,Exposure Factor Datasets
Microtus californicus (California Vole),Body Weight - Mean,39.4,,,,3.6,F,Not Reported,"Davis, California",25,Exposure Factor Datasets
Microtus californicus (California Vole),Body Weight - Mean,46.1,,,,3,M,Not Reported,"Castroville, California",14,Exposure Factor Datasets
Microtus californicus (California Vole),Body Weight - Mean,35.2,,,,4.6,F,Not Reported,"Castroville, California",11,Exposure Factor Datasets
Scapanus latimanus (Broad-footed Mole),Body Weight - Mean,Review,,,,,B,Not Reported,,See citation,Exposure Factor Datasets
Scapanus latimanus (Broad-footed Mole),Clutch or Litter Size,Review,,,,,B,Adult,,,Exposure Factor Datasets
Thamnophis sirtalis (Common Garter Snake),Survival/ Mortality,See citation,Mortality,,,,B,Adult,"50⁰44'N, 97⁰34'W; Narcisse Community Pasture near Chatfield, Manitoba",See citation,Exposure Factor Datasets
Ensatina eschscholtzii (Ensatina),Population Density,33,>30 ha area,,,,NR,Not Reported,"Pierce County, Washington",,Exposure Factor Datasets
Ensatina eschscholtzii (Ensatina),Population Density,12,>30 ha area,,,,NR,Not Reported,"Pierce County, Washington",,Exposure Factor Datasets
Ensatina eschscholtzii (Ensatina),Population Density,34,>30 ha area,,,,NR,Not Reported,"Pierce County, Washington",,Exposure Factor Datasets
Ensatina eschscholtzii (Ensatina),Population Density,137,>30 ha area,,,,NR,Not Reported,"Pierce County, Washington",,Exposure Factor Datasets
Ensatina eschscholtzii (Ensatina),Time of Mating/ Laying,See citation,,,,,F,Adult,,19,Exposure Factor Datasets
Ensatina eschscholtzii (Ensatina),Population Density,See citation,46 ha,,,,NR,Not Reported,"Green Peak forest, Benton County, N 44.3667, W
123.4583",,Exposure Factor Datasets
Ensatina eschscholtzii (Ensatina),Population Density,See citation Table 1,21-150 ha,,,,NR,Not Reported,,2420,Exposure Factor Datasets
Dicamptodon ensatus (California Giant Salamander),Population Density,28,Removed drainage culvert; 2.1 m wide x 1.4 m high x 12.2 m long,,,,B,Adult,"Estero Road, Point Reyes National Seashore",,Exposure Factor Datasets
Dicamptodon ensatus (California Giant Salamander),Population Density,45,Removed drainage culvert; 1.2 m diameter x 12.2 m long,,,,B,Adult,"Glenbrook Creek, Point Reyes National Seashore",,Exposure Factor Datasets
Pseudacris regilla (Pacific Treefrog),Body Weight - Mean,0.03,Larvae mass,,,NR,NR,Embryo,"Pond at Baker Beach, Lane County,
OR",32,Exposure Factor Datasets
Rana aurora (Northern Red-legged Frog),Time of Migration or Dispersal,January 29-May 1,Post-breeding migration,,,,,Adult,Scott Creek watershed,26-Aug,Exposure Factor Datasets
Rana aurora (Northern Red-legged Frog),Hatching Success,See citation,,,,,,Embryo,"Sumas Prairie, British Columbia",100,Exposure Factor Datasets
Anaxyrus boreas (Western Toad),Population Density,See citation,0.06-0.29 ha,,,,,Adult,"Rocky Mountains, CO",See citation,Exposure Factor Datasets
Anaxyrus boreas (Western Toad),Population Density,131,975 sq km,,,,,Both Adults and Juveniles,"Naval Air Station Fallon, NV",,Exposure Factor Datasets
Anaxyrus boreas (Western Toad),Foraging Distance,Review,Mean distance traveled from breeding site,,,,B,Not Reported,,404,Exposure Factor Datasets
Anaxyrus boreas (Western Toad),Body Weight - Mean,37.1 (1.2) - 47.7 (2.2),"Hibernated males, age range 1-5 y",,,,M,Adult,"Center for Conservation and Research of Endangered
Wildlife, Cincinnati Zoo & Botanical Garden",45,Exposure Factor Datasets
Anaxyrus boreas (Western Toad),Body Weight - Mean,32.6 (1.1) - 42.1 (2.0),"Hibernated females, age range 1-4 y",,,,F,Adult,"Center for Conservation and Research of Endangered
Wildlife, Cincinnati Zoo & Botanical Garden",32,Exposure Factor Datasets
Anaxyrus boreas (Western Toad),Body Weight - Mean,41.4 (1.9) - 59.3 (2.4),"Nonhibernated females, age range 2-5 y",,,,F,Adult,"Center for Conservation and Research of Endangered
Wildlife, Cincinnati Zoo & Botanical Garden",32,Exposure Factor Datasets
Uma inornata (Coachella  Valley Fringe-toed Lizard),Dietary Composition,See citation,,,,,,Not Reported,Thousand Palms Preserve,,Exposure Factor Datasets
Uma inornata (Coachella  Valley Fringe-toed Lizard),Population Density,See citation,"Population growth, r",,,,,Not Reported,Thousand Palms Preserve,,Exposure Factor Datasets
Uma inornata (Coachella  Valley Fringe-toed Lizard),Population Density,See citation,Mean hatchlings/ha,,,,,Hatchling,Thousand Palms Preserve,,Exposure Factor Datasets
Gopherus agassizi (Desert Tortoise),Clutch or Litter Size,5.7,Mean clutch size,,,2.43,,,"Sugarloaf Mountain, AZ",7,Exposure Factor Datasets
Gopherus agassizi (Desert Tortoise),Time of Mating/ Laying,42913,Oviposition date,,,14 d,,Adult,"Sugarloaf Mountain, AZ",8,Exposure Factor Datasets
Gopherus agassizi (Desert Tortoise),Clutch or Litter Size,3.8,Mean clutch size,,,1.26,,,"Sugarloaf Mountain, AZ",4,Exposure Factor Datasets
Gopherus agassizi (Desert Tortoise),Time of Mating/ Laying,42917,Oviposition date,,,7 d,,Adult,"Sugarloaf Mountain, AZ",4,Exposure Factor Datasets
Gopherus agassizi (Desert Tortoise),Clutch or Litter Size,5.7,Mean clutch size,,,1.49,,,"Sugarloaf Mountain, AZ",12,Exposure Factor Datasets
Gopherus agassizi (Desert Tortoise),Time of Mating/ Laying,42929,Oviposition date,,,9 d,,Adult,"Sugarloaf Mountain, AZ",13,Exposure Factor Datasets
Gopherus agassizi (Desert Tortoise),Clutch or Litter Size,4.6,Mean clutch size,,,1.5,,,"Sugarloaf Mountain, AZ",5,Exposure Factor Datasets
Gopherus agassizi (Desert Tortoise),Time of Mating/ Laying,42941,Oviposition date,,,21 d,,Adult,"Sugarloaf Mountain, AZ",7,Exposure Factor Datasets
Gopherus agassizi (Desert Tortoise),Hatching Success,73.7,% normal neonate produced,,,,,Neonate,"Marine Corps Air Ground Combat
Center, Twentynine Palms, CA",28,Exposure Factor Datasets
Gopherus agassizi (Desert Tortoise),Hatching Success,67,% normal neonate produced,,,,,Neonate,"Marine Corps Air Ground Combat
Center, Twentynine Palms, CA",63,Exposure Factor Datasets
Gopherus agassizi (Desert Tortoise),Growth Rate,-0.045,Voluntary consumption of A. hymenoides grass,,,0.038,NR,Both Adults and Juveniles,"University of California, Los Angeles",10,Exposure Factor Datasets
Gopherus agassizi (Desert Tortoise),Growth Rate,-0.043,Voluntary consumption of S. barbatus grass,,,0.025,NR,Both Adults and Juveniles,"University of California, Los Angeles",10,Exposure Factor Datasets
Gopherus agassizi (Desert Tortoise),Growth Rate,0.139,Voluntary consumption of M. glabrata forb,,,0.128,NR,Both Adults and Juveniles,"University of California, Los Angeles",10,Exposure Factor Datasets
Gopherus agassizi (Desert Tortoise),Growth Rate,0.162,Voluntary consumption of E. cicutarium forb,,,0.133,NR,Both Adults and Juveniles,"University of California, Los Angeles",10,Exposure Factor Datasets
Gopherus agassizi (Desert Tortoise),Dietary Composition,See citation Table 6,,,,,B,Adult,"Desert Tortoise Research Natural Area,
eastern Kern County, California",18,Exposure Factor Datasets
Gopherus agassizi (Desert Tortoise),Dietary Composition,See citation Table 8,,,,,B,Adult,"Desert Tortoise Research Natural Area,
eastern Kern County, California",18,Exposure Factor Datasets
Gopherus agassizi (Desert Tortoise),Time of Mating/ Laying,See citation Figure 2,Clutch phenology,,,,F,Adult,"Mesa wind farm near Palm Springs, CA",,Exposure Factor Datasets
Gopherus agassizi (Desert Tortoise),Home Range,See citation,Burrow location relative to roadways,,,,B,Both Adults and Juveniles,Mojave National Preserve,149-253,Exposure Factor Datasets
Gopherus agassizi (Desert Tortoise),Survival/ Mortality,"See citation Figure 6; predation, exposure",Cause of death relative to body length,,,,B,Both Adults and Juveniles,Fort Irwin National Training Center,53,Exposure Factor Datasets
Gopherus agassizi (Desert Tortoise),Clutch or Litter Size,3.3,Clutch size,,,0.2,,Embryo,Ivanpah Valley,19,Exposure Factor Datasets
Gopherus agassizi (Desert Tortoise),Clutch or Litter Size,3.4,Clutch size,,,0.2,,Embryo,Ivanpah Valley,15,Exposure Factor Datasets
Thamnophis gigas (Giant Garter Snake),Body Weight - Mean,See citation Figures 4 & 5,Body weight relative to SVL,,,,B,Both Adults and Juveniles,Mendota Wildife Area,15-Nov,Exposure Factor Datasets
Thamnophis gigas (Giant Garter Snake),Population Density,118 [111-132 (95% CI)],Abundance estimates,,,,NR,Not Reported,Badger Creek: 240 ha,103,Exposure Factor Datasets
Thamnophis gigas (Giant Garter Snake),Population Density,177 [124-280 (95% CI)],Abundance estimates,,,,NR,Not Reported,"Gilsizer Slough: 1,400 ha",88,Exposure Factor Datasets
Thamnophis gigas (Giant Garter Snake),Population Density,29 [22-53 (95% CI)],Abundance estimates,,,,NR,Not Reported,"Colousa National Wildlife Reserve: 4,500 ha",53,Exposure Factor Datasets
Thamnophis gigas (Giant Garter Snake),Population Density,229 [199-276 (95% CI)],Abundance estimates,,,,NR,Not Reported,"Natomas Basin: 21,600 ha",164,Exposure Factor Datasets
Xantusia riversiana (Island Night Lizard),Body Weight - Mean,Spring-summer adults: 15.3 [4.7 (95% CI)]; spring-summer juveniles: 4.13 [2.23 (95% CI)]; Autumn-winter adults: 16.3 [3.0 (95% CI)]; Autumn-winter juveniles: 1.50 [0.55 (95% CI)],,,,,NR,Both Adults and Juveniles,"Wilson Cove, San
Clemente Island",Spring-summer adults: 5; spring-summer juveniles: 4; Autumn-winter adults: 8; Autumn-winter juveniles: 4,Exposure Factor Datasets
Xantusia riversiana (Island Night Lizard),Metabolic Rate,Spring-summer adults: 28.7 [7.2 (95% CI)]; spring-summer juveniles: 13.2 [6.8 (95% CI)]; Autumn-winter adults: 30.3 [4.2 (95% CI)]; Autumn-winter juveniles: 4.80 [2.79 (95% CI)],,,,,NR,Both Adults and Juveniles,"Wilson Cove, San
Clemente Island",Spring-summer adults: 5; spring-summer juveniles: 4; Autumn-winter adults: 8; Autumn-winter juveniles: 4,Exposure Factor Datasets
Xantusia riversiana (Island Night Lizard),Water Ingestion Rate,Spring-summer adults: 0.117 [0.049 (95% CI)]; spring-summer juveniles: 0.074 [0.059 (95% CI)]; Autumn-winter adults: 0.135 [0.032 (95% CI)]; Autumn-winter juveniles: 0.054 [0.036 (95% CI)],,,,,NR,Both Adults and Juveniles,"Wilson Cove, San
Clemente Island",Spring-summer adults: 5; spring-summer juveniles: 4; Autumn-winter adults: 8; Autumn-winter juveniles: 4,Exposure Factor Datasets
Pituophis melanoleucus (Pine Snake),Home Range,See citation Table 1,"Kernel, 90% & 50%",,,,B,,South Mississippi,,Exposure Factor Datasets
Pituophis melanoleucus (Pine Snake),Hatching Success,See citation,Fate of hatchlings,,,,,Hatchling,"Burlington,
Cumberland, and Ocean counties",120,Exposure Factor Datasets
Pituophis melanoleucus (Pine Snake),Foraging Distance,See citation,Mean distance per movement event,,,,B,,Arnold Air Force Base,9,Exposure Factor Datasets
Pituophis melanoleucus (Pine Snake),Home Range,59.9,"Mean by fixed kernel, activity range (95%)",,,13.8,B,,Arnold Air Force Base,9,Exposure Factor Datasets
Pituophis melanoleucus (Pine Snake),Home Range,7.9,"Mean by fixed kernel, activity range (50%)",,,2.2,B,,Arnold Air Force Base,9,Exposure Factor Datasets
Pituophis melanoleucus (Pine Snake),Home Range,65,Mean by min convex polygon (95%),,,16.7,B,,Arnold Air Force Base,9,Exposure Factor Datasets
Pituophis melanoleucus (Pine Snake),Home Range,79.1,Mean by min convex polygon (50%),,,16.2,B,,Arnold Air Force Base,9,Exposure Factor Datasets
Pituophis melanoleucus (Pine Snake),Body Weight - Mean,1300,Mean weight,,,,B,,Arnold Air Force Base,9,Exposure Factor Datasets
Pituophis melanoleucus (Pine Snake),Body Weight - Mean,1004.6,Mean weight,,,151.4,M,,"Baker
County",12,Exposure Factor Datasets
Pituophis melanoleucus (Pine Snake),Body Weight - Mean,836,Mean weight,,,371.5,F,,"Baker
County",12,Exposure Factor Datasets
Pituophis melanoleucus (Pine Snake),Home Range,See citation,,,,,B,,"Baker
County",12,Exposure Factor Datasets
Pituophis melanoleucus (Pine Snake),Foraging Distance,See citation,Mean distance per day,,,,B,,Pine Barrens,17,Exposure Factor Datasets
Pituophis melanoleucus (Pine Snake),Home Range,37.5,Mean by min convex polygon,,,5,B,,Pine Barrens,7,Exposure Factor Datasets
Pituophis melanoleucus (Pine Snake),Home Range,100,Mean by 95% isopleth,,,16.6,B,,Pine Barrens,7,Exposure Factor Datasets
Pituophis melanoleucus (Pine Snake),Home Range,18.5,Mean core activity,,,2.9,B,,Pine Barrens,7,Exposure Factor Datasets
Pituophis melanoleucus (Pine Snake),Home Range,70,Mean by min convex polygon,,,6.9,B,,Pine Barrens,17,Exposure Factor Datasets
Pituophis melanoleucus (Pine Snake),Home Range,71.7,Mean by 95% isopleth,,,10.9,B,,Pine Barrens,17,Exposure Factor Datasets
Pituophis melanoleucus (Pine Snake),Home Range,8.7,Mean core activity,,,1.3,B,,Pine Barrens,17,Exposure Factor Datasets
Pituophis melanoleucus (Pine Snake),Home Range,See citation Table 4,Min convex polygon & kernel,,,,B,,Pine Barrens,14,Exposure Factor Datasets
Pituophis melanoleucus (Pine Snake),Foraging Distance,,,,,,B,,Pine Barrens,14,Exposure Factor Datasets
Pituophis melanoleucus (Pine Snake),,See citation Table 4,Max distance from den,,,,B,,Pine Barrens,11,Exposure Factor Datasets
Uta stansburiana (Sideblotched Lizard),Time of Mating/ Laying,See citation Figure 1,Timing of various reproductive stages,,,,F,,"Reserva de Biosfera de Mapim´ı, Durango,
Mexico",,Exposure Factor Datasets
Uta stansburiana (Sideblotched Lizard),Survival/ Mortality,See citation Table 1,Survivorship from year to year,,,,B,Both Adults and Juveniles,"Reserva de Biosfera de Mapim´ı, Durango,
Mexico",,Exposure Factor Datasets
Uta stansburiana (Sideblotched Lizard),Population Density,"Review, see Table 4",,,,,B,,,,Exposure Factor Datasets
Uta stansburiana (Sideblotched Lizard),Clutch or Litter Size,"Review, see Table 4",,,,,B,,,,Exposure Factor Datasets
Uta stansburiana (Sideblotched Lizard),Time of Hatching or Parturition,"Review, see Table 4",,,,,B,,,,Exposure Factor Datasets
Uta stansburiana (Sideblotched Lizard),Survival/ Mortality,"See citation Table 1, Figures 4-5",Overwinter mortality rate,,,,B,Adult,"CA, NV, OR, WA",,Exposure Factor Datasets
Uta stansburiana (Sideblotched Lizard),Survival/ Mortality,See citation Figure 2,Overwinter mortality rate by latitude,,,,B,Adult,"CA, NV, OR, WA",,Exposure Factor Datasets
Actinemys marmorata (Western Pond Turtle),Time of Nesting,June 4-July 18,,,,,,Adult,Fern Ridge Resevoir,17,Exposure Factor Datasets
Actinemys marmorata (Western Pond Turtle),Time of Nesting,May 28-June 30,,,,,,Adult,Cambria,15,Exposure Factor Datasets
Actinemys marmorata (Western Pond Turtle),Population Density,53 [48-66 (95% CI)],Model calculation,,,,,Both Adults and Juveniles,,,Exposure Factor Datasets
Actinemys marmorata (Western Pond Turtle),Population Density,49,Model calculation,,,,,Both Adults and Juveniles,,,Exposure Factor Datasets
Eumeces skiltonianus (Western Skink),Population Density,39,Hand captured/trapped,,,,B,Not Reported,,,Exposure Factor Datasets
Eumeces skiltonianus (Western Skink),Population Density,4,Hand captured/trapped,,,,B,Not Reported,,,Exposure Factor Datasets
Eumeces skiltonianus (Western Skink),Population Density,25,Hand captured,,,,B,Not Reported,,,Exposure Factor Datasets
Eumeces skiltonianus (Western Skink),Population Density,3,Hand captured,,,,B,Not Reported,,,Exposure Factor Datasets
Eumeces skiltonianus (Western Skink),Population Density,1,Hand captured,,,,B,Not Reported,,,Exposure Factor Datasets
Eumeces skiltonianus (Western Skink),Population Density,2,Hand captured,,,,B,Not Reported,,,Exposure Factor Datasets
Eumeces skiltonianus (Western Skink),Population Density,27,Hand captured,,,,B,Not Reported,,,Exposure Factor Datasets
Falco sparverius (American Kestrel),Dietary Composition,Vertebrates (29.1 %) Arthropods (70.9 %),Frequency determined by pellet analysis,,,,,Fledgling,Parque Luro Reserve,19 fledglings,Exposure Factor Datasets
Falco sparverius (American Kestrel),Dietary Composition,Vertebrates (11.2 %) Arthropods (88.8 %),Frequency determined by prey remains,,,,,Fledgling,Parque Luro Reserve,19 fledglings,Exposure Factor Datasets
Falco sparverius (American Kestrel),Time of Mating/ Laying,Late October-late December,,,,,,Adult,Parque Luro Reserve,6 nests,Exposure Factor Datasets
Falco sparverius (American Kestrel),Clutch or Litter Size,4.3,,,,0.3,,Embryo,Parque Luro Reserve,6 nests,Exposure Factor Datasets
Falco sparverius (American Kestrel),Hatching Success,0.73,,,,,,Embryo,Parque Luro Reserve,26 eggs,Exposure Factor Datasets
Pelecanus occidentalis (Brown Pelican),Population Density,See citation,Number of breeding pairs (area size NR),,,,,Adult,West coast US/Mexico border,,Exposure Factor Datasets
Pelecanus occidentalis (Brown Pelican),Population Density,See citation,Number of individuals (area size NR),,,,,Both Adults and Juveniles,West coast US/Mexico border,,Exposure Factor Datasets
Pelecanus occidentalis (Brown Pelican),Population Density,See citation; fewer nests in ENSO years,Number of nests on islands of Gulf of Mexico 1970-2006 during ENSO/non-ENSO years,,,,,,Gulf of Mexico,,Exposure Factor Datasets
Pelecanus occidentalis (Brown Pelican),Population Density,466 nests,"Number of nests/>50,314 ha",,,,,,Gulf of Chiriquí,,Exposure Factor Datasets
Pelecanus occidentalis (Brown Pelican),Population Density,0-910,Number of individuals/90 sq km (temporal),,,,,,San Nicolas Island,,Exposure Factor Datasets
Pelecanus occidentalis (Brown Pelican),Population Density,2011: 88-289 2012: 120-1895,Number of nests/583 sq km,,,2011 & 2012: 12-159 SE,,,"Small Islands of Bahía Santa María-
La Reforma, Sinaloa, México",2-3 surveys/y,Exposure Factor Datasets
Pelecanus occidentalis (Brown Pelican),Time of Mating/ Laying,January,,,,,,,"Small Islands of Bahía Santa María-
La Reforma, Sinaloa, México",2-3 surveys/y,Exposure Factor Datasets
Pelecanus occidentalis (Brown Pelican),Population Density,Review,Number of nests in colonies that nest in mangroves,,,,,,"Small Islands of Bahía Santa María-
La Reforma, Sinaloa, México",,Exposure Factor Datasets
Pelecanus occidentalis (Brown Pelican),Population Density,1722,Number of individuals (area size NR),,,,,Both Adults and Juveniles,"Three sites in Jacksonville, FL",1722,Exposure Factor Datasets
Pelecanus occidentalis (Brown Pelican),Population Density,Review,Number of individuals/sq km,,,,,,,,Exposure Factor Datasets
Pelecanus occidentalis (Brown Pelican),Hatching Success,0.5,,,,,,Embryo,Gaillard Island,NR,Exposure Factor Datasets
Pelecanus occidentalis (Brown Pelican),Hatching Success,0.537,,,,,,Embryo,Gaillard Island,NR,Exposure Factor Datasets
Pelecanus occidentalis (Brown Pelican),Hatching Success,0,,,,,,Embryo,Gaillard Island,NR,Exposure Factor Datasets
Pelecanus occidentalis (Brown Pelican),Hatching Success,0.677,,,,,,Embryo,Gaillard Island,NR,Exposure Factor Datasets
Pelecanus occidentalis (Brown Pelican),Hatching Success,0.635,,,,,,Embryo,Gaillard Island,NR,Exposure Factor Datasets
Pelecanus occidentalis (Brown Pelican),Hatching Success,0.576,,,,,,Embryo,Gaillard Island,NR,Exposure Factor Datasets
Pelecanus occidentalis (Brown Pelican),Hatching Success,0.695,,,,,,Embryo,Gaillard Island,NR,Exposure Factor Datasets
Pelecanus occidentalis (Brown Pelican),Hatching Success,0.588,,,,,,Embryo,Gaillard Island,NR,Exposure Factor Datasets
Pelecanus occidentalis (Brown Pelican),Hatching Success,0.646,,,,,,Embryo,Gaillard Island,NR,Exposure Factor Datasets
Pelecanus occidentalis (Brown Pelican),Population Density,See citation Table 2,Nests/ha/year,,,,,Adult,Coastal LA,,Exposure Factor Datasets
Pelecanus occidentalis (Brown Pelican),Population Density,See citation Table 2,Colonies/ha/year,,,,,Both Adults and Juveniles,Coastal LA,,Exposure Factor Datasets
Pelecanus occidentalis (Brown Pelican),Population Density,See citation Table 2,Breeding pairs/ha,,,,,Adult,North central Chilean islands,,Exposure Factor Datasets
Pelecanus occidentalis (Brown Pelican),Dietary Composition,See citation Figure 3,Proportion of anchovy:sardine,,,,,,Midriff Islands,NR,Exposure Factor Datasets
Pelecanus occidentalis (Brown Pelican),Dietary Composition,0.83,Percentage of diet that is anchovy+sardine,,,,,,Midriff Islands,NR,Exposure Factor Datasets
Athene cunicularia (Burrowing Owl),Dietary Composition,See citation Table 1,Proporation of frequency of each taxon from pellets (temporal),,,,,,Somuncurá Plateau Protected Area,35-110,Exposure Factor Datasets
Athene cunicularia (Burrowing Owl),Population Density,"2010: 2,026 [1756-2336 (95% CI)] 2011: 2015 [1573-2317 (95% CI)] per 20,529 ha",Number of individuals/ha,,,,,,Chihuahuan Desert,,Exposure Factor Datasets
Athene cunicularia (Burrowing Owl),Body Weight - Mean,,202.4,,,3,B,,Pampas of Argentina,58,Exposure Factor Datasets
Athene cunicularia (Burrowing Owl),Body Weight - Mean,,200.3,,,4.7,M,,Pampas of Argentina,11,Exposure Factor Datasets
Athene cunicularia (Burrowing Owl),Body Weight - Mean,,201.4,,,3.1,F,,Pampas of Argentina,33,Exposure Factor Datasets
