Animal Name,Chemical,Endpoint Value,Endpoint Description,Range,Sex,Life Cycle Stage,Location,Sample Size,Tox Exposure,Toxicity Endpoint Type,Tox Exposure Duration,Tox Exposure Technique,Type
Lithobates catesbeianus (Bullfrog),TETRODOTOXIN,45.9,% speed reduction,,B,Neonate,Benton County,25,0.001 mg,TOX-Non-Repro-Sublethal - behavioral effects,Single,Intraperitoneal injection,Toxicity Factor Datasets
Lithobates catesbeianus (Bullfrog),TETRODOTOXIN,54.7,% speed reduction,,B,Neonate,Benton County,25,0.04 mg,TOX-Non-Repro-Sublethal - behavioral effects,Single,Oral,Toxicity Factor Datasets
Lithobates catesbeianus (Bullfrog),TETRODOTOXIN,71.6,% speed reduction,,B,Neonate,Benton County,25,0.04 mg,TOX-Non-Repro-Sublethal - behavioral effects,Single,Oral,Toxicity Factor Datasets
Lithobates catesbeianus (Bullfrog),TETRODOTOXIN,62.6,% speed reduction,,B,Neonate,Bear Lake County,17,0.00005 mg,TOX-Non-Repro-Sublethal - behavioral effects,Single,Intraperitoneal injection,Toxicity Factor Datasets
Lithobates catesbeianus (Bullfrog),TETRODOTOXIN,71.7,% speed reduction,,B,Neonate,Bear Lake County,17,0.002 mg,TOX-Non-Repro-Sublethal - behavioral effects,Single,Oral,Toxicity Factor Datasets
Lithobates catesbeianus (Bullfrog),TETRODOTOXIN,85.8,% speed reduction,,B,Neonate,Bear Lake County,17,0.002 mg,TOX-Non-Repro-Sublethal - behavioral effects,Single,Oral,Toxicity Factor Datasets
Vireo bellii (Bell's Vireo),ATRAZINE,No effect,Mortality,,B,Neonate,"Eggs from Lincoln County, MT",80,"0, 1.84, 18.4, 184 µg/L",TOX-MORT - dose-response data,30 d,Waterborne,Toxicity Factor Datasets
Vireo bellii (Bell's Vireo),ATRAZINE,See citation Figure 1A,Larval period (d),,B,Embryo,"Eggs from Lincoln County, MT",80,"0, 1.84, 18.4, 184 µg/L",TOX-REPRO - development,30 d,Waterborne,Toxicity Factor Datasets
Vireo bellii (Bell's Vireo),ATRAZINE,See citation Figure 1B,Mass at metamorphosis (mg),,B,Embryo,"Eggs from Lincoln County, MT",80,"0, 1.84, 18.4, 184 µg/L",TOX-Non-Repro-Sublethal - whole animal,30 d,Waterborne,Toxicity Factor Datasets
Vireo bellii (Bell's Vireo),ATRAZINE,See citaiton Figure 1C,Body size at metamorphosis,,B,Embryo,"Eggs from Lincoln County, MT",80,"0, 1.84, 18.4, 184 µg/L",TOX-Non-Repro-Sublethal - whole animal,30 d,Waterborne,Toxicity Factor Datasets
Vireo bellii (Bell's Vireo),METHOXYCHLOR,No effect,Susceptibility to predation,,B,Neonate,Eggs from local breeding pond,10,"0, 0.01, 0.1, 1.0, 10.0 mg/L",TOX-Non-Repro-Sublethal - indirect effects,See citation,Waterborne,Toxicity Factor Datasets
Vireo bellii (Bell's Vireo),METHOXYCHLOR,See citation Table 1,% hatch,,B,Embryo,Eggs from local breeding pond,90-132,"0, 0.01, 0.1, 1.0, 10.0 mg/L",TOX-REPRO - reproductive success,See citation,Waterborne,Toxicity Factor Datasets
Vireo bellii (Bell's Vireo),"NITRATE, SODIUM",No effect,% survival,,NR,Embryo,"Willamette Valley, OR",10,"0, 5, 20 mg/L",TOX-MORT - toxicity benchmarks,3 w,Waterborne,Toxicity Factor Datasets
Vireo bellii (Bell's Vireo),"NITRATE, SODIUM",No effect,Embryo mass,,NR,Embryo,"Willamette Valley, OR",10,"0, 5, 20 mg/L",TOX-Non-Repro-Sublethal - whole animal,3 w,Waterborne,Toxicity Factor Datasets
Vireo bellii (Bell's Vireo),"NITRATE, SODIUM",No effect,% survival,,NR,Embryo,"Cascade Mountain, OR",10,"0, 10 mg/L",TOX-MORT - toxicity benchmarks,3 w,Waterborne,Toxicity Factor Datasets
Vireo bellii (Bell's Vireo),"NITRATE, SODIUM",No effect,Embryo mass,,NR,Embryo,"Cascade Mountain, OR",10,"0, 10 mg/L",TOX-Non-Repro-Sublethal - whole animal,3 w,Waterborne,Toxicity Factor Datasets
Vireo bellii (Bell's Vireo),ENDOSULFAN,2.7 [1.7-3.7 (84% CI)] ppb,LC10,,NR,Embryo,"Pymatuning Laboratory of Ecology, Pittsburgh, PA",10,"2, 6, 7, 35, 60, 296 ppb",TOX-MORT - toxicity benchmarks,4 d,Waterborne,Toxicity Factor Datasets
Vireo bellii (Bell's Vireo),ENDOSULFAN,21.4 [17.0-27.0 (84%CI)] ppb,LC50,,NR,Embryo,"Pymatuning Laboratory of Ecology, Pittsburgh, PA",10,"2, 6, 7, 35, 60, 296 ppb",TOX-MORT - toxicity benchmarks,4 d,Waterborne,Toxicity Factor Datasets
Sylvilagus bachmani (Brush Rabbit),ENDOSULFAN,172 [117-283 (84% CI)] ppb,LC90,,NR,Embryo,"Pymatuning Laboratory of Ecology, Pittsburgh, PA",10,"2, 6, 7, 35, 60, 296 ppb",TOX-MORT - toxicity benchmarks,4 d,Waterborne,Toxicity Factor Datasets
Sylvilagus bachmani (Brush Rabbit),ENDOSULFAN,7 ppb,LOEC,,NR,Embryo,"Pymatuning Laboratory of Ecology, Pittsburgh, PA",10,"2, 6, 7, 35, 60, 296 ppb",TOX-MORT - toxicity benchmarks,4 d,Waterborne,Toxicity Factor Datasets
Sylvilagus bachmani (Brush Rabbit),ENDOSULFAN,1.7 [1.1-2.4 (84% CI)] ppb,LC10,,NR,Embryo,"Pymatuning Laboratory of Ecology, Pittsburgh, PA",10,"2, 6, 7, 35, 60, 296 ppb",TOX-MORT - toxicity benchmarks,8 d,Waterborne,Toxicity Factor Datasets
Sylvilagus bachmani (Brush Rabbit),ENDOSULFAN,13.9 [11.1-17.5 (84% CI)] ppb,LC50,,NR,Embryo,"Pymatuning Laboratory of Ecology, Pittsburgh, PA",10,"2, 6, 7, 35, 60, 296 ppb",TOX-MORT - toxicity benchmarks,8 d,Waterborne,Toxicity Factor Datasets
Sylvilagus bachmani (Brush Rabbit),ENDOSULFAN,114 [79.0-187 (84% CI)] ppb,LC90,,NR,Embryo,"Pymatuning Laboratory of Ecology, Pittsburgh, PA",10,"2, 6, 7, 35, 60, 296 ppb",TOX-MORT - toxicity benchmarks,8 d,Waterborne,Toxicity Factor Datasets
Sylvilagus bachmani (Brush Rabbit),ENDOSULFAN,7,LOEC,,NR,Embryo,"Pymatuning Laboratory of Ecology, Pittsburgh, PA",10,"2, 6, 7, 35, 60, 296 ppb",TOX-MORT - toxicity benchmarks,8 d,Waterborne,Toxicity Factor Datasets
Sylvilagus bachmani (Brush Rabbit),"NITRATE, SODIUM",No effect,% survival,,NR,Embryo,"Oregon State University, Corvallis",10,"0, 5, 20 mg/L",TOX-MORT - toxicity benchmarks,7 d,Waterborne,Toxicity Factor Datasets
Microtus californicus (California Vole),CYPERMETHRIN,No effect,% survival,,NR,Embryo,"Oregon State University, Corvallis",10,"0.0, 1.0, 5.0 µg/L",TOX-MORT - toxicity benchmarks,48 h,Waterborne,Toxicity Factor Datasets
Microtus californicus (California Vole),CYPERMETHRIN,0.025 ± 0.003 SE,Embryo mass,,NR,Embryo,"Oregon State University, Corvallis",10,5.0 µg/L,TOX-Non-Repro-Sublethal - whole animal,48 h,Waterborne,Toxicity Factor Datasets
Microtus californicus (California Vole),CYPERMETHRIN,0.269 ± 0.006 SE,Mass,,NR,Neonate,"Oregon State University, Corvallis",10,0.0 µg/L,TOX-Non-Repro-Sublethal - whole animal,48 h,Waterborne,Toxicity Factor Datasets
Microtus californicus (California Vole),CYPERMETHRIN,0.082 ± 0.007 SE,Mass,,NR,Neonate,"Oregon State University, Corvallis",10,0.5 µg/L,TOX-Non-Repro-Sublethal - whole animal,48 h,Waterborne,Toxicity Factor Datasets
Microtus californicus (California Vole),CYPERMETHRIN,0.089 ± 0.013 SE,Mass,,NR,Neonate,"Oregon State University, Corvallis",10,5.0 µg/L,TOX-Non-Repro-Sublethal - whole animal,48 h,Waterborne,Toxicity Factor Datasets
Scapanus latimanus (Broad-footed Mole),CHLORPYRIFOS,Decreased,Survival,,NR,Juvenile,University of Pittsburgh,60,"Pesticide mixtures; Spring exp: 0, 2, 10 ppb; Summer exp: 0, 1, 5 ppb",TOX-MORT - toxicity benchmarks,5 d,Waterborne,Toxicity Factor Datasets
Scapanus latimanus (Broad-footed Mole),GLYPHOSATE,8279 mg/L,LC50,,NR,Tadpole,San Francisco State University,144,"0, 5700, 5800, 6900, 7000, 7900, 8800 mg/L",TOX-MORT - toxicity benchmarks,24 h,Waterborne,Toxicity Factor Datasets
Thamnophis sirtalis (Common Garter Snake),GLYPHOSATE,6392 mg/L,LC50,,NR,Tadpole,San Francisco State University,144,"0, 5700, 5800, 6900, 7000, 7900, 8800 mg/L",TOX-MORT - toxicity benchmarks,48 h,Waterborne,Toxicity Factor Datasets
Ensatina eschscholtzii (Ensatina),GLYPHOSATE,0.375,% mortality,,NR,Tadpole,San Francisco State University,24,5700 mg/L,TOX-MORT - toxicity benchmarks,48 h,Waterborne,Toxicity Factor Datasets
Ensatina eschscholtzii (Ensatina),GLYPHOSATE,0.375,% mortality,,NR,Tadpole,San Francisco State University,24,5800 mg/L,TOX-MORT - toxicity benchmarks,48 h,Waterborne,Toxicity Factor Datasets
Ensatina eschscholtzii (Ensatina),GLYPHOSATE,0.667,% mortality,,NR,Tadpole,San Francisco State University,24,6900 mg/L,TOX-MORT - toxicity benchmarks,48 h,Waterborne,Toxicity Factor Datasets
Ensatina eschscholtzii (Ensatina),GLYPHOSATE,0.542,% mortality,,NR,Tadpole,San Francisco State University,24,7000 mg/L,TOX-MORT - toxicity benchmarks,48 h,Waterborne,Toxicity Factor Datasets
Ensatina eschscholtzii (Ensatina),GLYPHOSATE,0.75,% mortality,,NR,Tadpole,San Francisco State University,24,7900 mg/L,TOX-MORT - toxicity benchmarks,48 h,Waterborne,Toxicity Factor Datasets
Ensatina eschscholtzii (Ensatina),GLYPHOSATE,1,% mortality,,NR,Tadpole,San Francisco State University,24,8800 mg/L,TOX-MORT - toxicity benchmarks,48 h,Waterborne,Toxicity Factor Datasets
Ensatina eschscholtzii (Ensatina),GLYPHOSATE,5092 mg/L,LC50,,NR,Tadpole,San Francisco State University,24,"0, 520 (440), 1900 (1319), 2700 (1758), 3100 (2198), 5100 (3077), 5200 (3736) mg/L glyphosate (surfactant)",TOX-MORT - toxicity benchmarks,24 h,Waterborne,Toxicity Factor Datasets
Dicamptodon ensatus (California Giant Salamander),GLYPHOSATE,0.5,% mortality,,NR,Tadpole,San Francisco State University,24,5200 (3736) mg/L glyphosate (surfactant),TOX-MORT - toxicity benchmarks,24 h,Waterborne,Toxicity Factor Datasets
Dicamptodon ensatus (California Giant Salamander),GLYPHOSATE,0.125,% mortality,,NR,Tadpole,San Francisco State University,24,520 (440) mg/L glyphosate (surfactant),TOX-MORT - toxicity benchmarks,48 h,Waterborne,Toxicity Factor Datasets
Pseudacris regilla (Pacific Treefrog),GLYPHOSATE,No effect,% mortality,,NR,Tadpole,San Francisco State University,24,170 (132) mg/L glyphosate (surfactant),TOX-MORT - toxicity benchmarks,48 h,Waterborne,Toxicity Factor Datasets
Pseudacris regilla (Pacific Treefrog),GLYPHOSATE,0.042,% mortality,,NR,Tadpole,San Francisco State University,24,370 (264) mg/L glyphosate (surfactant),TOX-MORT - toxicity benchmarks,48 h,Waterborne,Toxicity Factor Datasets
Rana aurora (Northern Red-legged Frog),ZINC SULFATE,0.65,% mortality,,NR,Tadpole,"Colorado Division of Wildlife Aquatic Toxicity Laboratory, Ft. Collins, CO",80,1000 µg/L,TOX-MORT - toxicity benchmarks,96 h,Waterborne,Toxicity Factor Datasets
Rana aurora (Northern Red-legged Frog),ZINC SULFATE,1,% mortality,,NR,Tadpole,"Colorado Division of Wildlife Aquatic Toxicity Laboratory, Ft. Collins, CO",80,2000 µg/L,TOX-MORT - toxicity benchmarks,96 h,Waterborne,Toxicity Factor Datasets
Anaxyrus boreas (Western Toad),ENDOSULFAN,"1,147 [623-2,726 (84% CI)]",LC90,,NR,Tadpole,University of Pittsburgh,120,"1, 5, 10, 50, 100, 500 ppb",TOX-MORT - toxicity benchmarks,4 d,Waterborne,Toxicity Factor Datasets
Anaxyrus boreas (Western Toad),ENDOSULFAN,7,LOEC,,NR,Tadpole,University of Pittsburgh,120,"1, 5, 10, 50, 100, 500 ppb",TOX-MORT - toxicity benchmarks,4 d,Waterborne,Toxicity Factor Datasets
Anaxyrus boreas (Western Toad),MERCURY (elemental),459 ± 78.1 ppb,"Liver concentration, dead-captured",,,,Pine Barrens,17,NR,TOX-EXP IND - accumulation,,Environmental contamination,Toxicity Factor Datasets
Anaxyrus boreas (Western Toad),LEAD (elemental),140 ± 38.6 ppb,"Liver concentration, dead-captured",,,,Pine Barrens,17,NR,TOX-EXP IND - accumulation,,Environmental contamination,Toxicity Factor Datasets
Anaxyrus boreas (Western Toad),SELENIUM (elemental),985 ± 141 ppb,"Liver concentration, dead-captured",,,,Pine Barrens,17,NR,TOX-EXP IND - accumulation,,Environmental contamination,Toxicity Factor Datasets
Anaxyrus boreas (Western Toad),ARSENIC (elemental),167 ± 53.2 ppb,"Kidney concentration, dead-captured",,,,Pine Barrens,15,NR,TOX-EXP IND - accumulation,,Environmental contamination,Toxicity Factor Datasets
Anaxyrus boreas (Western Toad),CADMIUM (elemental),95.1 ± 31.9 ppb,"Kidney concentration, dead-captured",,,,Pine Barrens,15,NR,TOX-EXP IND - accumulation,,Environmental contamination,Toxicity Factor Datasets
Anaxyrus boreas (Western Toad),,See citation Figure 1,Peripheral blood leukocytes/mL blood,,M,Not Reported,Oaklahoma State University,20,"0, 0.01, 0.10, 1.0 mg/kg",TOX-Non-Repro-Sublethal - cellular/biochemical effects,2 w,Intraperitoneal injection,Toxicity Factor Datasets
Anaxyrus boreas (Western Toad),,See citation Figure 2,Total leukocytes/spleen,,M,Not Reported,Oaklahoma State University,20,"0, 0.01, 0.10, 1.0 mg/kg",TOX-Non-Repro-Sublethal - cellular/biochemical effects,2 w,Intraperitoneal injection,Toxicity Factor Datasets
Anaxyrus boreas (Western Toad),CARBARYL,See citation Figure 1,"Terrestrial sprint velocity, m/s",,B,Adult,"Savannah River Ecology Laboratory, University of Georgia",20,"0, 2.5, 25, 250 µg/g",TOX-Non-Repro-Sublethal - behavioral effects,Single dose,Oral gavage,Toxicity Factor Datasets
Anaxyrus boreas (Western Toad),CARBARYL,See citation Figure 2,"Arboreal sprint velocity, m/s",,B,Adult,Savannah River Ecology Laboratory,20,"0, 2.5, 25, 250 µg/g",TOX-Non-Repro-Sublethal - behavioral effects,Single dose,Oral gavage,Toxicity Factor Datasets
Uma inornata (Coachella  Valley Fringe-toed Lizard),MALATHION,No effect,Body condition index,,M,Juvenile,Savannah River Ecology Laboratory,13,"2.0, 20, 100 mg/kg",TOX-Non-Repro-Sublethal - whole animal,Dosed 3 times over 81 days,Oral gavage,Toxicity Factor Datasets
Uma inornata (Coachella  Valley Fringe-toed Lizard),MALATHION,No effect,"Terrestrial sprint velocity, m/s",,M,Juvenile,Savannah River Ecology Laboratory,13,"2.0, 20, 100 mg/kg",TOX-Non-Repro-Sublethal - behavioral effects,Dosed 3 times over 81 days,Oral gavage,Toxicity Factor Datasets
Uma inornata (Coachella  Valley Fringe-toed Lizard),MALATHION,See citation Figure 3B,"Arboreal sprint velocity, m/s",,M,Juvenile,Savannah River Ecology Laboratory,13,"2.0, 20, 100 mg/kg",TOX-Non-Repro-Sublethal - behavioral effects,Dosed 3 times over 81 days,Oral gavage,Toxicity Factor Datasets
Gopherus agassizi (Desert Tortoise),"2,4,6-TRINITROTOLUENE",See citation Figure 1,Cricket consumption,,M,Adult,,60,"0, 3, 15, 25, 35, 45 mg/kg/d",TOX-Non-Repro-Sublethal - whole animal,Daily doses through mortality,Oral gavage,Toxicity Factor Datasets
Gopherus agassizi (Desert Tortoise),"2,4,6-TRINITROTOLUENE",Threshold dose 25-35 mg/kg/d,Chromaturia/vent area staining,,M,Adult,,60,"0, 3, 15, 25, 35, 45 mg/kg/d",TOX-Non-Repro-Sublethal - organ/system effects,Daily doses through mortality,Oral gavage,Toxicity Factor Datasets
Gopherus agassizi (Desert Tortoise),"2,4,6-TRINITROTOLUENE",Enlarged,Liver weight,,M,Adult,,60,"0, 3, 15, 25, 35, 45 mg/kg/d",TOX-Non-Repro-Sublethal - organ/system effects,Daily doses through mortality,Oral gavage,Toxicity Factor Datasets
Gopherus agassizi (Desert Tortoise),"2,4,6-TRINITROTOLUENE",Enlarged,Kidney weight,,M,Adult,,60,"0, 3, 15, 25, 35, 45 mg/kg/d",TOX-Non-Repro-Sublethal - organ/system effects,Daily doses through mortality,Oral gavage,Toxicity Factor Datasets
Gopherus agassizi (Desert Tortoise),"2,4,6-TRINITROTOLUENE",Increased,Brain/body weight,,M,Adult,,60,"0, 3, 15, 25, 35, 45 mg/kg/d",TOX-Non-Repro-Sublethal - organ/system effects,Daily doses through mortality,Oral gavage,Toxicity Factor Datasets
Gopherus agassizi (Desert Tortoise),"2,4,6-TRINITROTOLUENE",Decreased 35-45 mg/kg/d,Testes/body weight,,M,Adult,,60,"0, 3, 15, 25, 35, 45 mg/kg/d",TOX-Non-Repro-Sublethal - organ/system effects,Daily doses through mortality,Oral gavage,Toxicity Factor Datasets
Gopherus agassizi (Desert Tortoise),"2,4,6-TRINITROTOLUENE",Increased 35-45 mg/kg/d,Spleen/body weight,,M,Adult,,60,"0, 3, 15, 25, 35, 45 mg/kg/d",TOX-Non-Repro-Sublethal - organ/system effects,Daily doses through mortality,Oral gavage,Toxicity Factor Datasets
Gopherus agassizi (Desert Tortoise),"2,4,6-TRINITROTOLUENE",See citation,Hematological chemistry,,M,Adult,,60,"0, 3, 15, 25, 35, 45 mg/kg/d",TOX-Non-Repro-Sublethal - cellular/biochemical effects,Daily doses through mortality,Oral gavage,Toxicity Factor Datasets
Gopherus agassizi (Desert Tortoise),"2,4,6-TRINITROTOLUENE",No effect,Testosterone concentation,,M,Adult,,60,"0, 3, 15, 25, 35, 45 mg/kg/d",TOX-Non-Repro-Sublethal - cellular/biochemical effects,Daily doses through mortality,Oral gavage,Toxicity Factor Datasets
Gopherus agassizi (Desert Tortoise),"2,4,6-TRINITROTOLUENE",No effect,Spermatozoa counts/motility,,M,Adult,,60,"0, 3, 15, 25, 35, 45 mg/kg/d",TOX-Non-Repro-Sublethal - cellular/biochemical effects,Daily doses through mortality,Oral gavage,Toxicity Factor Datasets
Gopherus agassizi (Desert Tortoise),"HEXAHYDRO-1,3,5-TRINITRO-1,3,5-TRIAZINE",72 mg/kg [49-106 (95% CI)],LD50,,M,Adult,"U.S. Army Center for Health
Promotion and Preventive Medicine",44,"0, 20-200 mg/kg",TOX-MORT - toxicity benchmarks,Single dose,Oral gavage,Toxicity Factor Datasets
Gopherus agassizi (Desert Tortoise),"HEXAHYDRO-1,3,5-TRINITRO-1,3,5-TRIAZINE",88 mg/kg [65-119 (95% CI)],LD50,,F,Adult,"U.S. Army Center for Health
Promotion and Preventive Medicine",44,"0, 20-200 mg/kg",TOX-MORT - toxicity benchmarks,Single dose,Oral gavage,Toxicity Factor Datasets
Gopherus agassizi (Desert Tortoise),"HEXAHYDRO-1,3,5-TRINITRO-1,3,5-TRIAZINE",3.25 d,Mean days of survival,,M,Adult,"U.S. Army Center for Health
Promotion and Preventive Medicine",42,"0, 10, 20, 25, 30, 45, 60 mg/kg/d",TOX-MORT - toxicity benchmarks,14 d,Oral gavage,Toxicity Factor Datasets
Gopherus agassizi (Desert Tortoise),"HEXAHYDRO-1,3,5-TRINITRO-1,3,5-TRIAZINE",Decreased to near zero comp to control,Cricket consumption,,M,Adult,"U.S. Army Center for Health
Promotion and Preventive Medicine",42,"0, 10, 20, 25, 30, 45, 60 mg/kg/d",TOX-Non-Repro-Sublethal - whole animal,14 d,Oral gavage,Toxicity Factor Datasets
Gopherus agassizi (Desert Tortoise),"HEXAHYDRO-1,3,5-TRINITRO-1,3,5-TRIAZINE",No effect,Body weight change,,M,Adult,"U.S. Army Center for Health
Promotion and Preventive Medicine",42,"0, 10, 20, 25, 30, 45, 60 mg/kg/d",TOX-Non-Repro-Sublethal - whole animal,14 d,Oral gavage,Toxicity Factor Datasets
Gopherus agassizi (Desert Tortoise),"HEXAHYDRO-1,3,5-TRINITRO-1,3,5-TRIAZINE",No effect,Hematological chemistry,,M,Adult,"U.S. Army Center for Health
Promotion and Preventive Medicine",42,"0, 10, 20, 25, 30, 45, 60 mg/kg/d",TOX-Non-Repro-Sublethal - cellular/biochemical effects,14 d,Oral gavage,Toxicity Factor Datasets
Gopherus agassizi (Desert Tortoise),"HEXAHYDRO-1,3,5-TRINITRO-1,3,5-TRIAZINE",Decreased,Cricket consumption,,M,Adult,"U.S. Army Center for Health
Promotion and Preventive Medicine",60,"0, 1, 2.5, 5, 8, 11 mg/kg/d",TOX-Non-Repro-Sublethal - whole animal,60 d,Oral gavage,Toxicity Factor Datasets
Gopherus agassizi (Desert Tortoise),"HEXAHYDRO-1,3,5-TRINITRO-1,3,5-TRIAZINE",Decreased,Body weight change,,M,Adult,"U.S. Army Center for Health
Promotion and Preventive Medicine",60,"0, 1, 2.5, 5, 8, 11 mg/kg/d",TOX-Non-Repro-Sublethal - whole animal,60 d,Oral gavage,Toxicity Factor Datasets
Gopherus agassizi (Desert Tortoise),"HEXAHYDRO-1,3,5-TRINITRO-1,3,5-TRIAZINE",No effect,Brain weight,,M,Adult,"U.S. Army Center for Health
Promotion and Preventive Medicine",60,"0, 1, 2.5, 5, 8, 11 mg/kg/d",TOX-Non-Repro-Sublethal - organ/system effects,60 d,Oral gavage,Toxicity Factor Datasets
Gopherus agassizi (Desert Tortoise),"HEXAHYDRO-1,3,5-TRINITRO-1,3,5-TRIAZINE",Increased,Liver weight,,M,Adult,"U.S. Army Center for Health
Promotion and Preventive Medicine",60,"0, 1, 2.5, 5, 8, 11 mg/kg/d",TOX-Non-Repro-Sublethal - organ/system effects,60 d,Oral gavage,Toxicity Factor Datasets
Gopherus agassizi (Desert Tortoise),"HEXAHYDRO-1,3,5-TRINITRO-1,3,5-TRIAZINE",Increased,Kidney weight,,M,Adult,"U.S. Army Center for Health
Promotion and Preventive Medicine",60,"0, 1, 2.5, 5, 8, 11 mg/kg/d",TOX-Non-Repro-Sublethal - organ/system effects,60 d,Oral gavage,Toxicity Factor Datasets
Thamnophis gigas (Giant Garter Snake),"HEXAHYDRO-1,3,5-TRINITRO-1,3,5-TRIAZINE",No effect,Spermatozoa counts/motility,,M,Adult,"U.S. Army Center for Health
Promotion and Preventive Medicine",60,"0, 1, 2.5, 5, 8, 11 mg/kg/d",TOX-Non-Repro-Sublethal - cellular/biochemical effects,60 d,Oral gavage,Toxicity Factor Datasets
Thamnophis gigas (Giant Garter Snake),"HEXAHYDRO-1,3,5-TRINITRO-1,3,5-TRIAZINE",No effect,Testosterone concentation,,M,Adult,"U.S. Army Center for Health
Promotion and Preventive Medicine",60,"0, 1, 2.5, 5, 8, 11 mg/kg/d",TOX-Non-Repro-Sublethal - cellular/biochemical effects,60 d,Oral gavage,Toxicity Factor Datasets
Thamnophis gigas (Giant Garter Snake),"HEXAHYDRO-1,3,5-TRINITRO-1,3,5-TRIAZINE",8.45 µg/g,Brain concentration,,M,Adult,"U.S. Army Center for Health
Promotion and Preventive Medicine",60,"0, 1, 2.5, 5, 8, 11 mg/kg/d",TOX-EXP IND - accumulation,60 d,Oral gavage,Toxicity Factor Datasets
Thamnophis gigas (Giant Garter Snake),"HEXAHYDRO-1,3,5-TRINITRO-1,3,5-TRIAZINE",27.75 µg/g,Brain concentration,,M,Adult,"U.S. Army Center for Health
Promotion and Preventive Medicine",42,"0, 1, 2.5, 5, 8, 11 mg/kg/d",TOX-EXP IND - accumulation,Single dose,Oral gavage,Toxicity Factor Datasets
Thamnophis gigas (Giant Garter Snake),"HEXAHYDRO-1,3,5-TRINITRO-1,3,5-TRIAZINE",19.33 d,Mean days of survival,,M,Adult,"U.S. Army Center for Health
Promotion and Preventive Medicine",60,"0, 1, 2.5, 5, 8, 11 mg/kg/d",TOX-MORT - toxicity benchmarks,60 d,Oral gavage,Toxicity Factor Datasets
Thamnophis gigas (Giant Garter Snake),"2-AMINO-4,6-DINITROTOLUENE",1406 [947-2087 (95% CI)],LD50,,M,Adult,,60,"0, 200-3175 mg/kg",TOX-MORT - toxicity benchmarks,Single dose,Oral gavage,Toxicity Factor Datasets
